person_name,person_email,installment_number,parcel_number,original_value,delinquent_value,paid_value,interest_value,penalty_value,due_date,paid_date,status
Carlos Ferreira,carlos.ferreira@email.com,INST-008,2,500.00,0.00,500.00,0.00,0.00,2025-07-01,2025-06-29,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-008,3,500.00,0.00,0.00,0.00,0.00,2026-07-01,,pending
Carlos Ferreira,carlos.ferreira@email.com,INST-009,1,1800.00,0.00,1800.00,0.00,0.00,2024-11-20,2024-11-18,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-009,2,1800.00,0.00,1800.00,0.00,0.00,2024-12-20,2024-12-15,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-009,3,1800.00,420.00,0.00,12.60,8.40,2025-01-20,,overdue
Carlos Ferreira,carlos.ferreira@email.com,INST-009,4,1800.00,0.00,0.00,0.00,0.00,2026-08-20,,pending
Carlos Ferreira,carlos.ferreira@email.com,INST-010,1,3200.00,0.00,3200.00,0.00,0.00,2024-04-10,2024-04-08,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-010,2,3200.00,0.00,3200.00,0.00,0.00,2024-05-10,2024-05-06,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-010,3,3200.00,0.00,3200.00,0.00,0.00,2024-06-10,2024-06-08,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-010,4,3200.00,0.00,3200.00,0.00,0.00,2024-07-10,2024-07-05,paid
Carlos Ferreira,carlos.ferreira@email.com,INST-010,5,3200.00,0.00,0.00,0.00,0.00,2024-08-10,,cancelled
João Silva,joao.silva@email.com,INST-011,1,950.00,0.00,0.00,0.00,0.00,2026-10-01,,pending
João Silva,joao.silva@email.com,INST-011,2,950.00,0.00,0.00,0.00,0.00,2026-11-01,,pending
João Silva,joao.silva@email.com,INST-011,3,950.00,0.00,0.00,0.00,0.00,2026-12-01,,pending
Maria Oliveira,maria.oliveira@email.com,INST-012,1,200.00,0.00,200.00,0.00,0.00,2025-08-15,2025-08-12,paid
Maria Oliveira,maria.oliveira@email.com,INST-012,2,200.00,0.00,200.00,0.00,0.00,2025-09-15,2025-09-14,paid
Maria Oliveira,maria.oliveira@email.com,INST-012,3,200.00,0.00,200.00,0.00,0.00,2025-10-15,2025-10-10,paid
